product_id,product_name,default_code,category,stock_uom,stock_uom_categ,purchase_uom,purchase_uom_categ,last_po_uom,last_po_uom_categ,last_po_date,bom_line_uoms,bom_count,flags,proposed_bucket,proposed_kg_per_l
843,WAJ Jerk Marinade v.1,,All / SEMI-FINISHED GOODS / Dressings & Marinades,kg,Weight,kg,Weight,,,,kg,1,,,
842,WAJ Jerk Seasoning Mix v.1,,All / SEMI-FINISHED GOODS / Spice Blends,kg,Weight,kg,Weight,,,,kg,5,,,
1166,Wasabi Powder,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,4,,,
1570,Water,,All / RAW MATERIALS,kg,Weight,kg,Weight,,,,kg,2,,,
913,"Wheat flour, type 405",,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,4,,,
914,White Maize Flour 25kg,,All / RAW MATERIALS / Dry Goods,25kg,Weight,25kg,Weight,,,,kg,1,,,
1167,"White Pepper, ground",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,4,,,
1375,"Whole Egg, liquid",,All,kg,Weight,kg,Weight,,,,kg,1,,,
1564,Worcestershire Sauce,,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,1,,,
952,Xanthan gum (E415),,All / RAW MATERIALS / Dry Goods / Preservatives,kg,Weight,kg,Weight,,,,kg,3,,,
